Name,Player_ID,FG%_RT,FT%_RT,FG3M_RT,PTS_RT,REB_RT,AST_RT,TOV_RT,Total_Rating
Coby White,1629632,0.30923578346736597,0.4754046334496985,0.6702127659574468,0.6209601679465223,0.2570201845728668,0.3827802498257653,-0.4950967629957476,56.98529129958778
Derrick White,1628401,0.3094631496774232,0.25454919296802714,0.7771950854060533,0.5016733181810047,0.3182682930728526,0.39874264080165334,-0.3424137640212533,56.90729849573176
Jaren Jackson Jr.,1628991,0.4742531261445088,0.45826721675658527,0.43709528214616095,0.6832771670073476,0.4093668262350096,0.17637913472363698,-0.4313112904625531,56.6468066617447
Immanuel Quickley,1630193,0.24744107029093218,0.44831645867671305,0.5837336993822924,0.533180309054392,0.24682362418073303,0.5067419752595362,-0.37859764342283175,56.14155286513759
Jalen Johnson,1630552,0.502951794436186,0.28467153284671537,0.2730496453900709,0.576027107157984,0.7131101021566402,0.43396355665159614,-0.617099135063207,55.60352935846387
Bam Adebayo,1628389,0.45209028470692947,0.34816518348165193,0.2019819294666278,0.539311761327044,0.6925660441901327,0.37126496968059053,-0.447871380526618,55.36830647170845
Lauri Markkanen,1628374,0.2185602038649396,0.4469638142568722,0.6559529198732458,0.578766660358485,0.42297196126258846,0.12855156491854028,-0.2943050070072621,55.367108652917686
John Collins,1628381,0.5926799745168825,0.43284671532846725,0.3295212765957447,0.5778907242693774,0.5845913734392736,0.17262638717632553,-0.5396706586826348,55.18807471544503
Julius Randle,203944,0.44205253701962127,0.47966631908237756,0.3333333333333333,0.5765111635505537,0.5028376844494892,0.40553500479517746,-0.5921490352628077,55.11881558059256
Ja Morant,1629630,0.3038547831626763,0.6153602031101237,0.3593894542090657,0.6921164576542733,0.29847505305236144,0.6398434568165978,-0.788206196303046,54.427098354616675
Alperen Sengun,1630578,0.4909192798659777,0.343065693430657,0.06515957446808511,0.5811096992799663,0.7458853575482406,0.4207768187422935,-0.5385063206919495,54.10828319513992
Jaylen Brown,1627759,0.3288445133912343,0.41024372139057286,0.4127298954201226,0.6833071307044559,0.42057369322226285,0.39938138728082095,-0.5470415101999392,54.098755229089136
Kawhi Leonard,202695,0.45504353365895084,0.3126913115140099,0.44680851063829785,0.6256506947575522,0.41752407454871665,0.2617238773318484,-0.4191616766467066,53.89964813545534
Payton Pritchard,1630202,0.4097056932658826,0.15558444155584442,0.7283590789857185,0.4281909801395973,0.2713448291947196,0.28849889363714676,-0.20096792715937986,53.39756714020913
Jordan Poole,1629673,0.2306731790188999,0.46872543514879295,0.7836333878887071,0.6258625745283942,0.21782938967955992,0.3890733187897183,-0.6480884385076002,53.0637638729632
Christian Braun,1631128,0.6919412510833194,0.2892089169461433,0.24453709028177112,0.46320271987362205,0.36914439979139185,0.21461658946245876,-0.21524518530506553,52.79935557482028
De'Andre Hunter,1629631,0.41484931487127064,0.44587405666213037,0.5414713306887847,0.5184243964421855,0.28240250870543876,0.12142364521724593,-0.26996853750126865,52.72418671221422
CJ McCollum,203468,0.25542578042047137,0.23435870698644423,0.6821808510638298,0.6442185514612453,0.2707150964812713,0.3498766954377312,-0.3967065868263473,52.35444290124553
RJ Barrett,1629628,0.38818973339253665,0.25666887856668874,0.42243713733075433,0.6548226868430173,0.4602620988546074,0.48021522250868737,-0.6249319542732716,52.292715721221974
Deni Avdija,1630166,0.43399811910323693,0.42627737226277373,0.3861702127659575,0.5036122708295517,0.5066969353007945,0.33292231812577067,-0.562874251497006,52.01399353801618
Onyeka Okongwu,1630168,0.6594755974167116,0.2477458136539287,0.13141426783479349,0.3977875775469019,0.6225545836949989,0.19547399724378037,-0.23115533638605146,51.92400659002176
OG Anunoby,1628384,0.4114747892564655,0.319263725801333,0.5050878815911193,0.5414065521241921,0.3420026649558308,0.182633713969156,-0.28551592467239434,51.74582535704062
Josh Giddey,1630581,0.40135529614615384,0.27802592875040866,0.3334391870435059,0.4351305733088054,0.5560675623019974,0.6080571249792959,-0.597461792832246,51.701183842220445
Aaron Gordon,203932,0.5729047983971488,0.3297365915582355,0.3448196114708603,0.43489309982873875,0.3528845679316982,0.27019782340642257,-0.2915907315803176,51.68147155603352
Anfernee Simons,1629014,0.20768862057458318,0.351199165797706,0.6861702127659575,0.5872572154656017,0.19307604994324631,0.4155363748458693,-0.4281437125748503,51.65422162717025
Jalen Green,1630224,0.17237428887572495,0.40414905877833274,0.6525755879059351,0.654851869190129,0.33872991218113385,0.29755337789603475,-0.5239520958083832,51.230731443023515
Jalen Duren,1631105,0.8398622024020197,0.20072992700729936,0.0,0.35789919525624736,0.7319807037457434,0.22177695574736267,-0.36094477711244183,51.10298600232087
Rudy Gobert,203497,0.7636041879830371,0.22959522229595225,0.0,0.3460783181240615,0.7606026209885461,0.1530097522699249,-0.273090183269824,50.80775059830829
