PERSON_ID,POSITION
1626143,Center-Forward
1629643,Forward
1629006,Guard
1630168,Forward-Center
1630171,Forward-Guard
1642439,Guard
203482,Forward-Center
1626162,Forward-Guard
101108,Guard
1626166,Guard
203901,Guard
1627780,Guard
1641809,Forward
1641763,Forward
1629618,Guard
1630590,Guard
1631342,Guard-Forward
203486,Forward-Center
1641764,Guard
1627751,Center
1629673,Guard
1641854,Guard
1629645,Guard-Forward
1629008,Forward
1626171,Forward
204001,Forward-Center
1642366,Center
1630695,Center
203939,Forward-Center
1626181,Guard
1627752,Forward
1630202,Guard
1641765,Forward
1642389,Guard
1630243,Guard
1629674,Center
1630193,Guard
1631311,Guard
203944,Forward-Center
1641871,Center
1630559,Guard
1629629,Forward-Guard
1630194,Forward
1642024,Forward-Center
1641810,Guard
1629675,Center-Forward
1631197,Guard
1630208,Center
1626196,Guard
1642258,Forward
1641857,Center
1629130,Forward
1629011,Center-Forward
1631115,Center
1630526,Forward
1631223,Forward
1631157,Guard
1642050,Forward
1626179,Guard
1641712,Guard-Forward
1626156,Guard
1630346,Forward
1627734,Forward-Center
1642275,Forward
1641766,Forward
1630611,Forward
1642259,Center
1631204,Guard
1631248,Guard
203471,Guard
1630578,Center
1641729,Forward
1629012,Guard
1629013,Guard
1630545,Guard-Forward
1630549,Center
1631101,Guard
1642347,Guard
1641767,Guard
1642263,Guard
1627783,Forward
1627732,Guard-Forward
1629014,Guard
1642354,Guard
1630579,Center
203935,Guard
1630696,Guard
1630188,Forward-Center
1642449,Forward
1641890,Forward
1631095,Forward
1641733,Guard
1631110,Forward
1642285,Guard
1630311,Guard
1630531,Guard
1641815,Guard
1630205,Forward
1630191,Forward-Center
1631124,Guard
1629622,Guard-Forward
1630591,Guard
1631306,Forward
1630256,Forward
1628369,Forward-Guard
1630678,Forward
202066,Guard-Forward
1631207,Forward
1628464,Forward-Center
1630560,Guard
1641708,Guard-Forward
1641709,Guard-Forward
1630679,Guard
202691,Guard
202684,Center-Forward
1630550,Forward
1629680,Guard-Forward
1630214,Forward
1631166,Forward
1641772,Forward
1642260,Guard
1631210,Forward
1630167,Forward
1626157,Center-Forward
1642422,Forward
1631247,Forward
1629018,Guard
1631131,Forward-Center
200782,Forward
1626167,Center-Forward
1641816,Forward
1642281,Guard-Forward
1630649,Guard
202685,Center
1627832,Guard
1629020,Forward
1630170,Guard-Forward
1629216,Guard
1641774,Forward
202696,Center
1629731,Forward-Center
1630532,Forward
1629021,Forward-Center
1631133,Forward
1641716,Forward
1629022,Guard-Forward
1641717,Guard
1630811,Guard
1641775,Guard
1642266,Guard
1642276,Center
1629023,Forward
1631102,Guard
1630322,Forward
1630570,Guard-Forward
1641817,Forward
1631212,Guard
1642377,Forward
1641705,Forward-Center
1631104,Guard
201566,Guard
1630762,Forward
1629632,Guard
1628401,Guard
1641727,Guard-Forward
1641715,Forward
1630598,Guard
203952,Forward
1631214,Guard
1630314,Guard
1642262,Forward
1629684,Forward
1631114,Guard-Forward
1631119,Forward
1629026,Guard-Forward
1631109,Center
1631466,Guard
1630172,Forward
1630533,Forward
1629057,Center-Forward
1631246,Guard
1629627,Forward
1630592,Forward
1630164,Center
1631209,Guard
1626153,Guard
1627824,Forward
1642385,Forward
1642443,Guard
1629027,Guard
1627826,Center
1641783,Forward
1628427,Forward
203967,Forward-Center
