Player_ID,Name,Played_Games,Missed_Games
1626192,Pat Connaughton,37,154
1641731,Bilal Coulibaly,59,97
1641741,Ricky Council IV,67,88
1628470,Torrey Craig,21,62
1642384,Isaiah Crawford,15,187
203109,Jae Crowder,8,194
1630595,Cade Cunningham,66,74
203552,Seth Curry,63,64
201939,Stephen Curry,63,37
1642359,Pacome Dadiet,17,95
1630700,Dyson Daniels,70,105
1642368,N'Faly Dante,1,105
203076,Anthony Davis,47,130
1631098,Johnny Davis,34,319
1631120,JD Davison,12,71
201942,DeMar DeRozan,70,132
1642484,RayJ Dennis,8,77
1628978,Donte DiVincenzo,56,44
1631217,Moussa Diabaté,66,61
1641711,Gradey Dick,54,55
1631172,Ousmane Dieng,37,38
1642265,Rob Dillingham,46,54
203915,Spencer Dinwiddie,74,103
1629029,Luka Dončić,44,150
1629652,Luguentz Dort,67,8
1630245,Ayo Dosunmu,46,112
1630288,Jeff Dowtin Jr.,39,116
1628408,PJ Dozier,9,344
203083,Andre Drummond,40,115
1630537,Chris Duarte,17,336
1642505,Alex Ducas,19,56
1630561,David Duke Jr.,4,114
1627739,Kris Dunn,67,121
1642346,Ryan Dunn,68,53
201142,Kevin Durant,62,59
1631105,Jalen Duren,72,68
1631106,Tari Eason,52,54
1641744,Zach Edey,61,33
1630162,Anthony Edwards,73,27
1642399,Jesse Edwards,2,98
1642348,Justin Edwards,42,113
1630556,Kessler Edwards,40,137
1631165,Keon Ellis,73,129
203954,Joel Embiid,19,136
1630623,Tyson Etienne,1,112
1629234,Drew Eubanks,55,133
1641787,Tosan Evbuomwan,22,91
203957,Danté Exum,18,159
1628981,Bruno Fernando,17,336
1642271,Kyle Filipowski,66,60
1627827,Dorian Finney-Smith,57,137
1641745,Adam Flagler,32,43
1642280,Trentyn Flowers,2,186
1630201,Malachi Flynn,4,349
1631323,Simone Fontecchio,68,72
1628368,De'Aaron Fox,62,56
1642402,Enrique Freeman,20,65
1628365,Markelle Fultz,18,184
1642277,Johnny Furphy,44,41
1629655,Daniel Gafford,52,125
1629636,Darius Garland,70,86
1630585,Marcus Garrett,4,349
1630568,Luka Garza,37,63
1641718,Keyonte George,61,65
1642273,Kyshawn George,64,92
202331,Paul George,41,114
201959,Taj Gibson,31,96
1630581,Josh Giddey,67,91
1628983,Shai Gilgeous-Alexander,72,3
1630264,Anthony Gill,47,109
1631221,Collin Gillespie,27,94
203497,Rudy Gobert,66,34
1630692,Jordan Goodwin,22,172
203932,Aaron Gordon,46,30
201569,Eric Gordon,39,116
1641789,Jazian Gortman,16,337
203924,Jerami Grant,47,44
1631260,AJ Green,66,125
203110,Draymond Green,61,39
1630224,Jalen Green,76,30
1629750,Javonte Green,62,94
201145,Jeff Green,28,78
1630182,Josh Green,67,60
1629656,Quentin Grimes,70,85
1631243,Mouhamed Gueye,26,149
1629060,Rui Hachimura,55,139
1630169,Tyrese Haliburton,68,17
1641790,PJ Hall,19,57
203501,Tim Hardaway Jr.,70,70
201935,James Harden,72,116
1630702,Jaden Hardy,53,124
1641989,Elijah Harkless,10,116
1631199,Ron Harper Jr.,0,140
203914,Gary Harris,43,34
202699,Tobias Harris,69,71
1628404,Josh Hart,72,40
1628392,Isaiah Hartenstein,53,22
1630573,Sam Hauser,64,19
1641722,Jordan Hawkins,56,50
1629637,Jaxson Hayes,50,144
1630165,Killian Hayes,6,347
1630703,Scoot Henderson,66,25
1641707,Taylor Hendricks,3,123
1629639,Tyler Herro,72,91
1627741,Buddy Hield,75,25
1629312,Haywood Highsmith,67,96
1628988,Aaron Holiday,56,50
201950,Jrue Holiday,58,25
1641842,Ronald Holland II,75,65
1626158,Richaun Holmes,30,126
1641747,DaRon Holmes II,0,76
1631096,Chet Holmgren,27,48
1641720,Jalen Hood-Schifino,10,145
201143,Al Horford,57,26
1629659,Talen Horton-Tucker,52,106
1631216,Caleb Houstan,53,24
1641724,Jett Howard,57,20
1628989,Kevin Huerter,64,94
1630643,Jay Huff,60,34
1630574,Ariel Hukporti,25,87
1629631,De'Andre Hunter,59,97
1630538,Bones Hyland,23,77
1642345,Oso Ighodaro,55,66
204060,Joe Ingles,19,81
1627742,Brandon Ingram,18,91
1631127,Harrison Ingram,3,115
202681,Kyrie Irving,50,127
1628371,Jonathan Isaac,67,10
1631093,Jaden Ivey,30,110
1641713,GG Jackson,25,69
1630543,Isaiah Jackson,5,80
1631245,Quenton Jackson,26,59
202704,Reggie Jackson,31,322
1641748,Andre Jackson Jr.,62,129
1628991,Jaren Jackson Jr.,69,25
1631218,Trayce Jackson-Davis,57,43
1642355,Bronny James,23,171
2544,LeBron James,64,130
1631170,Jaime Jaquez Jr.,62,101
1629610,DaQuan Jeffries,40,87
1641998,Trey Jemison III,33,161
1642450,Daniss Jenkins,6,134
1629660,Ty Jerome,67,89
1630198,Isaiah Joe,68,7
1642358,AJ Johnson,22,134
1629661,Cameron Johnson,57,56
1630552,Jalen Johnson,36,139
201949,James Johnson,12,73
1629640,Keldon Johnson,72,46
1630553,Keon Johnson,74,39
1642352,Keshad Johnson,12,151
203999,Nikola Jokić,65,11
1641732,Colby Jones,33,123
1641794,Dillon Jones,47,28
1630529,Herbert Jones,20,86
1642403,Isaac Jones,35,167
1630539,Kai Jones,36,141
1630222,Mason Jones,10,192
1642461,Spencer Jones,19,57
1630200,Tre Jones,46,112
1626145,Tyus Jones,75,46
1627884,Derrick Jones Jr.,70,118
201599,DeAndre Jordan,51,25
202709,Cory Joseph,46,31
1631107,Nikola Jović,46,117
1630548,Johnny Juzang,58,68
1642530,Yuki Kawamura,20,74
1630283,Kylor Kelley,8,345
1628379,Luke Kennard,61,33
1631117,Walker Kessler,57,69
1630296,Braxton Key,0,100
1630557,Corey Kispert,61,95
1628467,Maxi Kleber,34,160
1641752,Bobi Klintman,7,133
1642261,Dalton Knecht,72,122
1628995,Kevin Knox II,10,90
1642278,Tyler Kolek,39,73
1631132,Christian Koloko,34,160
1629723,John Konchar,42,52
1628436,Luke Kornet,66,17
1630249,Vít Krejčí,50,125
1630228,Jonathan Kuminga,41,59
1628398,Kyle Kuzma,58,133
1631222,Jake LaRavia,66,136
203897,Zach LaVine,67,135
1627746,Skal Labissiere,4,349
1629111,Jock Landale,38,68
1641796,Pelle Larsson,51,112
1630639,A.J. Lawson,20,89
1627747,Caris LeVert,58,117
1627814,Damion Lee,20,101
203458,Alex Len,45,149
202695,Kawhi Leonard,31,157
1642502,Malevy Leons,6,347
1641721,Maxwell Lewis,23,90
1630604,E.J. Liddell,8,150
203081,Damian Lillard,58,133
1641726,Dereck Lively II,32,145
1641753,Chris Livingston,18,173
1626172,Kevon Looney,69,31
201572,Brook Lopez,74,117
201567,Kevin Love,23,140
200768,Kyle Lowry,34,121
1641754,Seth Lundy,0,188
1626168,Trey Lyles,62,140
1630572,Sandro Mamukelashvili,54,64
1629611,Terance Mann,60,115
1630544,Tre Mann,13,114
1628374,Lauri Markkanen,47,79
1630230,Naji Marshall,63,114
1628997,Caleb Martin,39,138
1628998,Cody Martin,48,73
1641798,Jaylen Martin,14,142
1630231,KJ Martin,42,84
1631213,Tyrese Martin,57,56
1629726,Garrison Mathews,46,129
1631097,Bennedict Mathurin,67,18
1631255,Karlo Matković,37,69
1630178,Tyrese Maxey,52,103
1630540,Miles McBride,59,53
1642272,Jared McCain,23,132
1630644,Mac McClung,2,75
203468,CJ McCollum,56,50
204456,T.J. McConnell,72,13
1641755,Kevin McCullar Jr.,2,110
1630183,Jaden McDaniels,76,24
1629667,Jalen McDaniels,4,349
203926,Doug McDermott,38,164
1631121,Bryce McGowens,13,78
1629162,Jordan McLaughlin,40,78
1629098,Jack McVeigh,7,99
1629001,De'Anthony Melton,6,107
